mode,N,K,r,m_bits,seed,atoms,log2_ratio,log10_ratio,theory_log2_ratio_base,empirical_prob,theory_ratio,checks_passed
base,6,3,2,0,-1,3,-3,-0.9030899869919435,-3,,0.125,True
base,8,2,4,0,-1,2,-6,-1.806179973983887,-6,,0.015625,True
base,8,4,2,0,-1,4,-4,-1.2041199826559248,-4,,0.0625,True
base,10,5,2,0,-1,5,-5,-1.505149978319906,-5,,0.03125,True
base,12,3,4,0,-1,3,-9,-2.709269960975831,-9,,0.001953125,True
base,12,6,2,0,-1,6,-6,-1.806179973983887,-6,,0.015625,True
base,12,6,2,0,12345,6,-6,-1.806179973983887,-6,0.01512,0.015625,True
base,20,10,2,0,12345,10,-10,-3.010299956639812,-10,0.00097,0.0009765625,True
base,24,12,2,0,12345,12,-12,-3.612359947967774,-12,0.000205,0.000244140625,True
extra_bits,60,6,10,0,1600,6,-54,-16.255619765854984,-54,,5.55111512313e-17,True
extra_bits,60,6,10,0,1601,6,-54,-16.255619765854984,-54,,5.55111512313e-17,True
extra_bits,60,6,10,0,1602,6,-54,-16.255619765854984,-54,,5.55111512313e-17,True
extra_bits,60,6,10,0,1603,6,-54,-16.255619765854984,-54,,5.55111512313e-17,True
extra_bits,60,6,10,0,1604,6,-54,-16.255619765854984,-54,,5.55111512313e-17,True
extra_bits,60,6,10,0,1605,6,-54,-16.255619765854984,-54,,5.55111512313e-17,True
extra_bits,60,6,10,0,1606,6,-54,-16.255619765854984,-54,,5.55111512313e-17,True
extra_bits,60,6,10,0,1607,6,-54,-16.255619765854984,-54,,5.55111512313e-17,True
extra_bits,60,6,10,0,1608,6,-54,-16.255619765854984,-54,,5.55111512313e-17,True
extra_bits,60,6,10,0,1609,6,-54,-16.255619765854984,-54,,5.55111512313e-17,True
extra_bits,60,6,10,1,1700,12,-48,-14.449439791871097,-54,,3.5527136788e-15,True
extra_bits,60,6,10,1,1701,12,-48,-14.449439791871097,-54,,3.5527136788e-15,True
extra_bits,60,6,10,1,1702,12,-48,-14.449439791871097,-54,,3.5527136788e-15,True
extra_bits,60,6,10,1,1703,12,-48,-14.449439791871097,-54,,3.5527136788e-15,True
extra_bits,60,6,10,1,1704,12,-48,-14.449439791871097,-54,,3.5527136788e-15,True
extra_bits,60,6,10,1,1705,12,-48,-14.449439791871097,-54,,3.5527136788e-15,True
extra_bits,60,6,10,1,1706,12,-48,-14.449439791871097,-54,,3.5527136788e-15,True
extra_bits,60,6,10,1,1707,12,-48,-14.449439791871097,-54,,3.5527136788e-15,True
extra_bits,60,6,10,1,1708,12,-48,-14.449439791871097,-54,,3.5527136788e-15,True
extra_bits,60,6,10,1,1709,12,-48,-14.449439791871097,-54,,3.5527136788e-15,True
extra_bits,60,6,10,2,1800,24,-36,-10.837079843903323,-54,,1.45519152284e-11,True
extra_bits,60,6,10,2,1801,23,-37,-11.138109839567305,-54,,7.27595761418e-12,True
extra_bits,60,6,10,2,1802,24,-36,-10.837079843903323,-54,,1.45519152284e-11,True
extra_bits,60,6,10,2,1803,24,-36,-10.837079843903323,-54,,1.45519152284e-11,True
extra_bits,60,6,10,2,1804,24,-36,-10.837079843903323,-54,,1.45519152284e-11,True
extra_bits,60,6,10,2,1805,19,-41,-12.34222982222323,-54,,4.54747350886e-13,True
extra_bits,60,6,10,2,1806,24,-36,-10.837079843903323,-54,,1.45519152284e-11,True
extra_bits,60,6,10,2,1807,21,-39,-11.740169830895267,-54,,1.81898940355e-12,True
extra_bits,60,6,10,2,1808,23,-37,-11.138109839567305,-54,,7.27595761418e-12,True
extra_bits,60,6,10,2,1809,22,-38,-11.439139835231286,-54,,3.63797880709e-12,True
extra_bits,60,6,10,3,1900,36,-24,-7.224719895935548,-54,,5.96046447754e-08,True
extra_bits,60,6,10,3,1901,36,-24,-7.224719895935548,-54,,5.96046447754e-08,True
extra_bits,60,6,10,3,1902,36,-24,-7.224719895935548,-54,,5.96046447754e-08,True
extra_bits,60,6,10,3,1903,37,-23,-6.923689900271568,-54,,1.19209289551e-07,True
extra_bits,60,6,10,3,1904,34,-26,-7.826779887263511,-54,,1.49011611938e-08,True
extra_bits,60,6,10,3,1905,34,-26,-7.826779887263511,-54,,1.49011611938e-08,True
extra_bits,60,6,10,3,1906,35,-25,-7.52574989159953,-54,,2.98023223877e-08,True
extra_bits,60,6,10,3,1907,36,-24,-7.224719895935548,-54,,5.96046447754e-08,True
extra_bits,60,6,10,3,1908,36,-24,-7.224719895935548,-54,,5.96046447754e-08,True
extra_bits,60,6,10,3,1909,33,-27,-8.127809882927492,-54,,7.45058059692e-09,True
extra_bits,60,6,10,4,2000,47,-13,-3.9133899436317554,-54,,0.0001220703125,True
extra_bits,60,6,10,4,2001,46,-14,-4.214419939295737,-54,,6.103515625e-05,True
extra_bits,60,6,10,4,2002,41,-19,-5.719569917615643,-54,,1.90734863281e-06,True
extra_bits,60,6,10,4,2003,47,-13,-3.9133899436317554,-54,,0.0001220703125,True
extra_bits,60,6,10,4,2004,41,-19,-5.719569917615643,-54,,1.90734863281e-06,True
extra_bits,60,6,10,4,2005,45,-15,-4.515449934959718,-54,,3.0517578125e-05,True
extra_bits,60,6,10,4,2006,47,-13,-3.9133899436317554,-54,,0.0001220703125,True
extra_bits,60,6,10,4,2007,48,-12,-3.612359947967774,-54,,0.000244140625,True
extra_bits,60,6,10,4,2008,41,-19,-5.719569917615643,-54,,1.90734863281e-06,True
extra_bits,60,6,10,4,2009,49,-11,-3.3113299523037933,-54,,0.00048828125,True
extra_bits,60,6,10,5,2100,54,-6,-1.806179973983887,-54,,0.015625,True
extra_bits,60,6,10,5,2101,52,-8,-2.4082399653118496,-54,,0.00390625,True
extra_bits,60,6,10,5,2102,53,-7,-2.1072099696478683,-54,,0.0078125,True
