n,m,sparsity,trials,eps,tol,min_diff,violations
2,2,0.0,300,1e-12,1e-10,1.6886739083044874e-08,0
2,2,0.5,300,1e-12,1e-10,1.6284716630732277e-16,0
2,2,0.8,300,1e-12,1e-10,-2.6020852139652106e-17,0
3,3,0.0,300,1e-12,1e-10,0.0065710777171353475,0
3,3,0.5,300,1e-12,1e-10,1.2194759091421759e-13,0
3,3,0.8,300,1e-12,1e-10,2.2398749521812533e-13,0
5,5,0.0,300,1e-12,1e-10,0.026110574122519815,0
5,5,0.5,300,1e-12,1e-10,0.012085181740580351,0
5,5,0.8,300,1e-12,1e-10,7.511546940008884e-12,0
10,10,0.0,300,1e-12,1e-10,0.10497669158435567,0
10,10,0.5,300,1e-12,1e-10,0.08369309673443973,0
10,10,0.8,300,1e-12,1e-10,0.040089028274274435,0
20,10,0.0,300,1e-12,1e-10,0.2717157397213363,0
20,10,0.5,300,1e-12,1e-10,0.2669162776008591,0
20,10,0.8,300,1e-12,1e-10,0.15045345920958492,0
20,20,0.0,300,1e-12,1e-10,0.26390545493402545,0
20,20,0.5,300,1e-12,1e-10,0.30321917552813304,0
20,20,0.8,300,1e-12,1e-10,0.22601856543897322,0
50,20,0.0,300,1e-12,1e-10,0.5299112688993018,0
50,20,0.5,300,1e-12,1e-10,0.5096433243635311,0
50,20,0.8,300,1e-12,1e-10,0.3938893019826104,0
