case_id,seed,trial,Nx,Nv,omega,tau,delta,delta_correct,delta_wrong,delta_missing,delta_extended,u_err,e_err_missing,e_err_extended
FM1_low_omega_strong_gradient,50,0,16,3,0.0,2,0.31565882342171325,,,,,,,
FM1_low_omega_strong_gradient,50,0,16,3,0.0,5,0.4900317162553271,,,,,,,
FM1_low_omega_strong_gradient,50,0,16,3,0.0,10,0.6175525724888292,,,,,,,
FM1_low_omega_strong_gradient,50,1,16,3,0.0,2,0.31928119291407975,,,,,,,
FM1_low_omega_strong_gradient,50,1,16,3,0.0,5,0.48153461288025756,,,,,,,
FM1_low_omega_strong_gradient,50,1,16,3,0.0,10,0.6057293004455397,,,,,,,
FM1_low_omega_strong_gradient,50,2,16,3,0.0,2,0.31575842022878653,,,,,,,
FM1_low_omega_strong_gradient,50,2,16,3,0.0,5,0.48419830295447425,,,,,,,
FM1_low_omega_strong_gradient,50,2,16,3,0.0,10,0.6113091325069338,,,,,,,
FM1_low_omega_strong_gradient,50,3,16,3,0.0,2,0.3217750724047039,,,,,,,
FM1_low_omega_strong_gradient,50,3,16,3,0.0,5,0.4936044598966873,,,,,,,
FM1_low_omega_strong_gradient,50,3,16,3,0.0,10,0.6078277822395902,,,,,,,
FM1_low_omega_strong_gradient,50,4,16,3,0.0,2,0.31182139149713206,,,,,,,
FM1_low_omega_strong_gradient,50,4,16,3,0.0,5,0.47866716889919037,,,,,,,
FM1_low_omega_strong_gradient,50,4,16,3,0.0,10,0.6039509967872865,,,,,,,
FM1_low_omega_strong_gradient,50,5,16,3,0.0,2,0.31394062296528846,,,,,,,
FM1_low_omega_strong_gradient,50,5,16,3,0.0,5,0.4842707286524345,,,,,,,
FM1_low_omega_strong_gradient,50,5,16,3,0.0,10,0.6080644618583394,,,,,,,
FM1_low_omega_strong_gradient,50,6,16,3,0.0,2,0.3074840069362181,,,,,,,
FM1_low_omega_strong_gradient,50,6,16,3,0.0,5,0.4925647921928431,,,,,,,
FM1_low_omega_strong_gradient,50,6,16,3,0.0,10,0.6102105086691203,,,,,,,
FM1_low_omega_strong_gradient,50,7,16,3,0.0,2,0.3176483750539517,,,,,,,
FM1_low_omega_strong_gradient,50,7,16,3,0.0,5,0.47955039059557003,,,,,,,
FM1_low_omega_strong_gradient,50,7,16,3,0.0,10,0.612019127906906,,,,,,,
FM1_low_omega_strong_gradient,50,8,16,3,0.0,2,0.31988953233406786,,,,,,,
FM1_low_omega_strong_gradient,50,8,16,3,0.0,5,0.49251033263698524,,,,,,,
FM1_low_omega_strong_gradient,50,8,16,3,0.0,10,0.6097670095054766,,,,,,,
FM1_low_omega_strong_gradient,50,9,16,3,0.0,2,0.32207528890575754,,,,,,,
FM1_low_omega_strong_gradient,50,9,16,3,0.0,5,0.4835304042265411,,,,,,,
FM1_low_omega_strong_gradient,50,9,16,3,0.0,10,0.6173620130142035,,,,,,,
FM1_low_omega_strong_gradient,50,10,16,3,0.0,2,0.318620686699557,,,,,,,
FM1_low_omega_strong_gradient,50,10,16,3,0.0,5,0.4859485298891203,,,,,,,
FM1_low_omega_strong_gradient,50,10,16,3,0.0,10,0.6046279259646274,,,,,,,
FM1_low_omega_strong_gradient,50,11,16,3,0.0,2,0.31307601879059294,,,,,,,
FM1_low_omega_strong_gradient,50,11,16,3,0.0,5,0.4899754503241725,,,,,,,
FM1_low_omega_strong_gradient,50,11,16,3,0.0,10,0.6068395745915454,,,,,,,
FM1_low_omega_strong_gradient,50,12,16,3,0.0,2,0.30447521260364213,,,,,,,
FM1_low_omega_strong_gradient,50,12,16,3,0.0,5,0.48673501728189206,,,,,,,
FM1_low_omega_strong_gradient,50,12,16,3,0.0,10,0.6039333303731607,,,,,,,
FM1_low_omega_strong_gradient,50,13,16,3,0.0,2,0.3231360621407794,,,,,,,
FM1_low_omega_strong_gradient,50,13,16,3,0.0,5,0.4825222975663911,,,,,,,
FM1_low_omega_strong_gradient,50,13,16,3,0.0,10,0.6151837722782754,,,,,,,
FM1_low_omega_strong_gradient,50,14,16,3,0.0,2,0.31707598852542496,,,,,,,
FM1_low_omega_strong_gradient,50,14,16,3,0.0,5,0.4845680267564511,,,,,,,
FM1_low_omega_strong_gradient,50,14,16,3,0.0,10,0.606214559693258,,,,,,,
FM1_low_omega_strong_gradient,50,15,16,3,0.0,2,0.3247003019408563,,,,,,,
FM1_low_omega_strong_gradient,50,15,16,3,0.0,5,0.4878989634006936,,,,,,,
FM1_low_omega_strong_gradient,50,15,16,3,0.0,10,0.6166312070270337,,,,,,,
FM1_low_omega_strong_gradient,50,16,16,3,0.0,2,0.31225193235812854,,,,,,,
FM1_low_omega_strong_gradient,50,16,16,3,0.0,5,0.48882781929327945,,,,,,,
FM1_low_omega_strong_gradient,50,16,16,3,0.0,10,0.614490333902329,,,,,,,
FM1_low_omega_strong_gradient,50,17,16,3,0.0,2,0.31855347787143606,,,,,,,
FM1_low_omega_strong_gradient,50,17,16,3,0.0,5,0.4935003606480011,,,,,,,
FM1_low_omega_strong_gradient,50,17,16,3,0.0,10,0.6070595125136592,,,,,,,
FM1_low_omega_strong_gradient,50,18,16,3,0.0,2,0.3130843627327362,,,,,,,
FM1_low_omega_strong_gradient,50,18,16,3,0.0,5,0.4876525795331906,,,,,,,
FM1_low_omega_strong_gradient,50,18,16,3,0.0,10,0.6077720200078813,,,,,,,
FM1_low_omega_strong_gradient,50,19,16,3,0.0,2,0.31414651910226166,,,,,,,
FM1_low_omega_strong_gradient,50,19,16,3,0.0,5,0.4900784153558567,,,,,,,
FM1_low_omega_strong_gradient,50,19,16,3,0.0,10,0.6197826379816211,,,,,,,
FM1_low_omega_strong_gradient,50,20,16,3,0.0,2,0.3197911739343632,,,,,,,
FM1_low_omega_strong_gradient,50,20,16,3,0.0,5,0.49088214371829325,,,,,,,
FM1_low_omega_strong_gradient,50,20,16,3,0.0,10,0.6216678050848954,,,,,,,
FM1_low_omega_strong_gradient,50,21,16,3,0.0,2,0.315340813246911,,,,,,,
FM1_low_omega_strong_gradient,50,21,16,3,0.0,5,0.48629881401150643,,,,,,,
FM1_low_omega_strong_gradient,50,21,16,3,0.0,10,0.605864019575194,,,,,,,
FM1_low_omega_strong_gradient,50,22,16,3,0.0,2,0.3100623331577961,,,,,,,
FM1_low_omega_strong_gradient,50,22,16,3,0.0,5,0.48035233137936184,,,,,,,
FM1_low_omega_strong_gradient,50,22,16,3,0.0,10,0.6103149393707384,,,,,,,
FM1_low_omega_strong_gradient,50,23,16,3,0.0,2,0.31881245425960447,,,,,,,
FM1_low_omega_strong_gradient,50,23,16,3,0.0,5,0.48509622540169295,,,,,,,
FM1_low_omega_strong_gradient,50,23,16,3,0.0,10,0.6078986609348435,,,,,,,
FM1_low_omega_strong_gradient,50,24,16,3,0.0,2,0.3130986065989354,,,,,,,
FM1_low_omega_strong_gradient,50,24,16,3,0.0,5,0.4779553900582193,,,,,,,
FM1_low_omega_strong_gradient,50,24,16,3,0.0,10,0.6029845520230326,,,,,,,
FM1_low_omega_strong_gradient,50,25,16,3,0.0,2,0.3114525965544715,,,,,,,
FM1_low_omega_strong_gradient,50,25,16,3,0.0,5,0.4764007365485511,,,,,,,
FM1_low_omega_strong_gradient,50,25,16,3,0.0,10,0.6123810719680178,,,,,,,
FM1_low_omega_strong_gradient,50,26,16,3,0.0,2,0.31538918094262414,,,,,,,
FM1_low_omega_strong_gradient,50,26,16,3,0.0,5,0.47976207618772754,,,,,,,
FM1_low_omega_strong_gradient,50,26,16,3,0.0,10,0.6074272616522388,,,,,,,
FM1_low_omega_strong_gradient,50,27,16,3,0.0,2,0.3170182057842808,,,,,,,
FM1_low_omega_strong_gradient,50,27,16,3,0.0,5,0.4974722909105549,,,,,,,
FM1_low_omega_strong_gradient,50,27,16,3,0.0,10,0.6251967610055402,,,,,,,
FM1_low_omega_strong_gradient,50,28,16,3,0.0,2,0.3145449956491124,,,,,,,
FM1_low_omega_strong_gradient,50,28,16,3,0.0,5,0.4938868879873085,,,,,,,
FM1_low_omega_strong_gradient,50,28,16,3,0.0,10,0.6115819409270854,,,,,,,
FM1_low_omega_strong_gradient,50,29,16,3,0.0,2,0.3172070582050858,,,,,,,
FM1_low_omega_strong_gradient,50,29,16,3,0.0,5,0.4841795499357152,,,,,,,
FM1_low_omega_strong_gradient,50,29,16,3,0.0,10,0.5999060917719794,,,,,,,
FM1_low_omega_strong_gradient,50,30,16,3,0.0,2,0.32141343148580176,,,,,,,
FM1_low_omega_strong_gradient,50,30,16,3,0.0,5,0.4846779701261539,,,,,,,
FM1_low_omega_strong_gradient,50,30,16,3,0.0,10,0.6137981223067481,,,,,,,
FM1_low_omega_strong_gradient,50,31,16,3,0.0,2,0.3173689984448961,,,,,,,
