seed,trial,Nx,Nv,omega,tau,delta
40,0,16,3,0.0,1,0.36657871375441553
40,1,16,3,0.0,1,0.6418739231885566
40,2,16,3,0.0,1,0.4007220153786704
40,3,16,3,0.0,1,0.3467922094000495
40,4,16,3,0.0,1,0.40450093345051086
40,5,16,3,0.0,1,0.39929243205217446
40,6,16,3,0.0,1,0.5924597068109073
40,7,16,3,0.0,1,0.4193519667525241
40,8,16,3,0.0,1,0.44844475092341074
40,9,16,3,0.0,1,0.4515761042388815
40,10,16,3,0.0,1,0.4806129234951102
40,11,16,3,0.0,1,0.5215370117444376
40,12,16,3,0.0,1,0.43653284694732786
40,13,16,3,0.0,1,0.36702729637596154
40,14,16,3,0.0,1,0.3120726205233258
40,15,16,3,0.0,1,0.5316914590879094
40,16,16,3,0.0,1,0.62297726193852
40,17,16,3,0.0,1,0.4317447369399475
40,18,16,3,0.0,1,0.5866528502061391
40,19,16,3,0.0,1,0.4540976812139342
40,20,16,3,0.0,1,0.40782464435350785
40,21,16,3,0.0,1,0.4533873426550131
40,22,16,3,0.0,1,0.5645760150285104
40,23,16,3,0.0,1,0.36433133098601195
40,24,16,3,0.0,1,0.346838442587722
40,25,16,3,0.0,1,0.5550234286264448
40,26,16,3,0.0,1,0.42156821728026944
40,27,16,3,0.0,1,0.37744698479365235
40,28,16,3,0.0,1,0.423827509849783
40,29,16,3,0.0,1,0.4819201408606711
40,30,16,3,0.0,1,0.49472807887748915
40,31,16,3,0.0,1,0.4208248637831389
40,32,16,3,0.0,1,0.346094252769658
40,33,16,3,0.0,1,0.3974540949831612
40,34,16,3,0.0,1,0.5309619604720497
40,35,16,3,0.0,1,0.3846336693704385
40,36,16,3,0.0,1,0.34330293563318903
40,37,16,3,0.0,1,0.3998077322787634
40,38,16,3,0.0,1,0.4789465262183761
40,39,16,3,0.0,1,0.4770677027317114
40,40,16,3,0.0,1,0.42316391664576936
40,41,16,3,0.0,1,0.4932627057681138
40,42,16,3,0.0,1,0.3465199468296778
40,43,16,3,0.0,1,0.352290856944934
40,44,16,3,0.0,1,0.3292723836986724
40,45,16,3,0.0,1,0.4498585849302577
40,46,16,3,0.0,1,0.4035474324599343
40,47,16,3,0.0,1,0.4336410559074897
40,48,16,3,0.0,1,0.487017809817463
