omega,tau,mean_delta,median_delta,std_delta,trials
0.0,1,0.42278553810505487,0.4195108162878836,0.07134089344588486,200
0.0,2,0.4225825679952927,0.4203396547884408,0.07240237882211367,200
0.0,5,0.41905904373117364,0.41549139108634897,0.06874839901256707,200
0.0,10,0.417663770986767,0.41509485616118064,0.06896596343473432,200
0.1,1,0.4154686749942455,0.4097309630954772,0.0764181977766387,200
0.1,2,0.4136715206374707,0.41140789435657604,0.07074893570199305,200
0.1,5,0.37990897303527277,0.37155601892246193,0.06940145376507416,200
0.1,10,0.3451384275629674,0.33752790821796497,0.06844126147534257,200
0.2,1,0.4148483183704872,0.4136187986444396,0.0752500519018715,200
0.2,2,0.3967049601714689,0.39097236200394353,0.0771151234179669,200
0.2,5,0.36699797768686315,0.36151179609939227,0.07345510129826677,200
0.2,10,0.3053128895295695,0.30115970252472746,0.06724938127346534,200
0.3,1,0.42301230828635483,0.41951817116921053,0.07459451456362305,200
0.3,2,0.3900961341591319,0.3893126766800866,0.07026138130815963,200
0.3,5,0.3485648256339797,0.34257420829184193,0.06524629041068838,200
0.3,10,0.2760627469920934,0.27390221791355907,0.06746377320804792,200
0.4,1,0.4207102514600905,0.4137919144216675,0.07517497455360442,200
0.4,2,0.39217422232339805,0.3885270934586377,0.06509972836121376,200
0.4,5,0.3406163154027386,0.3326915707445307,0.06460306782589,200
0.4,10,0.26335330181615063,0.25473765580067953,0.06528614330479274,200
0.5,1,0.4226475388289198,0.4174154955414615,0.0782594378078198,200
0.5,2,0.3989996963253647,0.40032540905723957,0.0677082410502386,200
0.5,5,0.3369573961053433,0.33694337314796746,0.06984210055271571,200
0.5,10,0.2515287297395836,0.24621308046862417,0.06554160851064271,200
0.6,1,0.4208407365920064,0.41656026587689454,0.071195558018059,200
0.6,2,0.3904812974787691,0.38766377607823466,0.07425531424332622,200
0.6,5,0.3489098301467177,0.3434675046124512,0.06962670298452042,200
0.6,10,0.2600523679338556,0.24689806870738856,0.08625256825942625,200
0.7,1,0.42780176252740804,0.42594427748710056,0.07238794180612636,200
0.7,2,0.3794095866057459,0.3822492806855015,0.07224297613701282,200
0.7,5,0.34853916862614104,0.34765004114315823,0.07879788269824355,200
0.7,10,0.2550811828767175,0.24274059814230492,0.08358323939540074,200
0.8,1,0.4170362659446019,0.4114985847936,0.0735234050908894,200
0.8,2,0.3800311338403259,0.3697237742280517,0.0759569629099729,200
0.8,5,0.34632713700742884,0.3399106023259817,0.07652188838287775,200
0.8,10,0.2727300635486414,0.26684914377826496,0.09387184042474196,200
0.9,1,0.41900305105005275,0.41106696628530176,0.07429877676071776,200
0.9,2,0.3844746932208363,0.3824157383905977,0.07536479005240647,200
0.9,5,0.3405307524858908,0.3296188723397683,0.07866553529179601,200
0.9,10,0.2782533577959381,0.26827309914127934,0.09914600602166836,200
1.0,1,0.4187838332890594,0.41364784869541443,0.07061192008154865,200
1.0,2,0.3990676801662616,0.3923561086967669,0.07191327536717514,200
1.0,5,0.34782023602664586,0.34294519119473277,0.07908514539988366,200
1.0,10,0.28482010711374733,0.27535779417448975,0.0954757854375461,200
